sid,verejny_cinnitel_sid,uzivatel_sid,"rok","vyska_prijmu","mena"
48,47,25,"2007","1500000","1"
15,18,29,"2007","528211","1"
14,17,29,"2007","528211","1"
13,16,29,"2007","528211","1"
12,14,18,"2007","1009966","1"
10,11,14,"2007","1167932","1"
9,10,9,"1990","0","1"
16,14,18,"2006","849354","1"
17,19,18,"2007","980000","1"
18,19,18,"2006","849354","1"
19,20,24,"2007","330000","1"
20,21,24,"2007","330000","1"
21,22,24,"2007","330000","1"
22,23,18,"2007","1009966","1"
23,23,18,"2006","849354","1"
24,13,13,"2007","977354","1"
25,25,13,"2007","977354","1"
26,26,39,"2007","2117470","1"
27,27,39,"2007","2117470","1"
28,28,39,"2007","2117470","1"
29,29,34,"2007","105201","1"
30,30,34,"2007","105201","1"
31,31,34,"2007","105201","1"
32,24,28,"2007","296575","1"
33,32,28,"2007","250000","1"
34,33,28,"2007","296575","1"
35,34,38,"2007","1622700","1"
36,35,38,"2007","1622700","1"
37,37,32,"2007","139638","1"
38,38,37,"2007","471429","1"
39,39,37,"2007","471429","1"
40,40,9,"1990","1000000","1"
41,41,27,"2006","111923","1"
42,42,26,"2007","317000","1"
43,43,26,"2007","317000","1"
44,44,32,"2007","139638","1"
45,45,27,"2006","111923","1"
46,36,41,"2007","1449330","1"
47,46,41,"2007","1449330","1"
49,48,25,"2007","1500000","1"
50,49,30,"2007","450000","1"
51,50,30,"2007","450000","1"
52,52,35,"2007","325245","1"
53,53,35,"2007","325245","1"
54,54,17,"2007","682670","1"
55,55,17,"2007","682670","1"
56,56,17,"2007","682670","1"
57,57,17,"2007","682670","1"
58,58,40,"2007","1062257","1"
59,60,40,"2007","1062257","1"
60,61,48,"2008","560809","1"
61,62,48,"2008","560809","1"
62,63,40,"2007","1062257","1"
63,64,46,"2008","62400","3"
64,65,46,"2008","62400","3"
1027,848,78,"2009","77047,60","3"
1026,848,78,"2008","119190","3"
68,69,55,"2008","538000","1"
69,70,61,"2008","120000","1"
70,71,61,"2008","120000","1"
71,72,60,"2008","3500000","1"
72,73,60,"2008","3500000","1"
73,74,55,"2008","538000","1"
75,13,13,"2008","1165550","1"
76,79,13,"2007","977354","1"
77,79,13,"2008","1165550","1"
78,80,54,"2008","315000","1"
79,81,54,"2008","315000","1"
82,86,42,"2008","906978","1"
83,84,63,"2008","v rozpätí 300 - 350 000","1"
84,88,42,"2008","906978","1"
85,89,59,"2008","1200000","1"
86,87,52,"2008","181291","1"
87,87,52,"2007","240096","1"
88,90,59,"2008","1200000","1"
89,87,52,"2006","289757","1"
90,87,52,"2005","505770","1"
91,87,52,"2004","465453","1"
92,87,52,"2003","412184","1"
93,87,52,"2002","376518","1"
94,91,52,"2008","181291","1"
95,91,52,"2007","240096","1"
96,91,52,"2006","289757","1"
97,91,52,"2005","505770","1"
98,91,52,"2004","465453","1"
99,91,52,"2003","412184","1"
100,91,52,"2002","376518","1"
101,75,62,"2005","422","3"
102,75,62,"2006","1001","3"
103,75,62,"2007","1915","3"
104,75,62,"2008","4658","3"
105,92,62,"2005","422","3"
106,92,62,"2006","1001","3"
107,92,62,"2007","1915","3"
108,92,62,"2008","4658","3"
109,94,67,"2009","20000","3"
110,96,69,"2008","600000","1"
111,97,69,"2008","600000","1"
114,371,346,"2008","1299000","1"
115,371,346,"2007","1168300","1"
116,371,346,"2006","1079605","1"
117,373,346,"2008","1299000","1"
118,373,346,"2007","1168300","1"
119,373,346,"2006","1079605","1"
121,149,122,"2008","4000","1"
122,374,122,"2008","4000","1"
123,136,109,"2008","95000","1"
125,203,177,"2009","10000","3"
126,376,177,"2009","10000","3"
127,137,110,"2008","17000","3"
128,377,109,"2008","95000","1"
129,378,110,"2008","17000","3"
130,168,141,"2008","5000","3"
131,153,126,"2008","200000","1"
132,379,141,"2008","5000","3"
133,380,126,"2008","200000","1"
134,139,112,"2008","550000","1"
135,126,99,"2009","1500","3"
136,228,202,"2008","493446","1"
137,144,117,"2008","250000","1"
138,381,202,"2008","493446","1"
139,159,132,"2008","528000","1"
140,382,132,"2008","650000","1"
141,186,159,"2008","420000","1"
142,244,218,"2008","360000","1"
143,359,333,"2006","245422","1"
144,359,333,"2007","280528","1"
145,359,333,"2008","289802","1"
146,325,299,"2008","246000","1"
147,361,335,"2008","280000","1"
148,269,243,"2001","12000","1"
149,383,333,"2006","245422","1"
150,383,333,"2007","280528","1"
151,383,333,"2008","289802","1"
152,384,335,"2008","280000","1"
153,385,243,"2001","12000","1"
154,120,93,"2008","71654","1"
1015,839,72,"2008","0","1"
156,256,230,"2008","400000","1"
157,386,93,"2008","71654","1"
158,277,251,"2008","18000","3"
159,350,324,"2007","20184","1"
160,350,324,"2008","137661","1"
161,387,230,"2008","400000","1"
162,388,324,"2007","20184","1"
163,388,324,"2008","137661","1"
164,205,179,"2008","850000","1"
165,106,78,"2008","119190","3"
166,325,299,"2007","265000","1"
167,389,179,"2008","850000","1"
168,390,299,"2008","246000","1"
169,390,299,"2007","265000","1"
170,358,332,"2008","160602","1"
171,391,332,"2008","160602","1"
172,392,332,"2008","160602","1"
173,169,142,"2008","521309","1"
174,393,142,"2008","450000","1"
175,394,142,"2008","450000","1"
176,395,142,"2008","450000","1"
177,273,247,"1990","200000","1"
178,271,245,"2008","242995","1"
180,138,111,"2008","10000","3"
181,396,247,"1990","200000","1"
182,397,111,"2008","10000","3"
183,204,178,"2008","340000","1"
184,398,178,"2008","340000","1"
185,399,245,"2008","242995","1"
187,296,270,"2010","1100","3"
188,206,180,"2008","729000","1"
189,356,330,"2008","9000","3"
190,400,270,"2008","8400","3"
191,401,180,"2008","729000","1"
192,402,330,"2008","9000","3"
193,403,112,"2008","550000","1"
194,404,180,"2008","729000","1"
195,319,293,"2008","388431","1"
196,129,102,"2008","390476","1"
197,405,293,"2008","388431","1"
198,406,102,"2008","390476","1"
1031,850,121,"2008","240000","1"
1030,850,121,"2007","570000","1"
202,176,149,"2008","410487","1"
203,408,149,"2008","400000","1"
204,328,302,"2008","25000","1"
205,409,351,"2009","5000","3"
206,410,302,"2008","25000","1"
207,411,351,"2009","5000","3"
211,143,116,"2008","334866","1"
212,414,116,"2008","334866","1"
213,148,121,"2007","570000","1"
214,148,121,"2008","240000","1"
215,415,142,"2008","521309","1"
216,314,288,"2008","467591","1"
217,416,288,"2008","467591","1"
218,180,153,"2009","7000","3"
219,171,144,"1990","1500000","1"
220,417,144,"1990","1500000","1"
223,252,226,"2008","2121538","1"
224,419,226,"2008","2121538","1"
225,330,304,"2008","10000","1"
226,420,304,"2008","10000","1"
227,194,167,"2008","201000","1"
228,421,167,"2008","201000","1"
229,105,77,"2008","1900","3"
230,422,77,"2008","1900","3"
231,312,286,"2008","696000","1"
232,423,286,"2008","696000","1"
233,157,130,"2006","186701","1"
234,157,130,"2007","286896","1"
235,157,130,"2008","311828","1"
236,157,130,"2009","8418","3"
237,334,308,"2008","440306","1"
238,424,308,"2008","440306","1"
239,147,120,"2008","130000","1"
240,425,120,"2008","100000","1"
241,235,209,"2009","13000","3"
242,336,310,"2008","240000","1"
243,426,310,"2008","240000","1"
244,280,254,"2008","360000","1"
245,267,241,"2008","450000","1"
246,217,191,"2008","468277","1"
247,217,191,"2007","504833","1"
248,217,191,"2006","470977","1"
249,217,191,"2005","473476","1"
250,217,191,"2004","343486","1"
251,217,191,"2003","331001","1"
252,217,191,"2002","289956","1"
253,217,191,"2001","317560","1"
254,427,191,"2008","468277","1"
255,427,191,"2007","504833","1"
256,427,191,"2006","470977","1"
257,427,191,"2005","473476","1"
258,427,191,"2004","343486","1"
259,427,191,"2003","331001","1"
260,427,191,"2002","289956","1"
261,427,191,"2001","317560","1"
262,172,145,"2008","373402","1"
263,428,145,"2008","373402","1"
264,429,112,"2008","550000","1"
265,342,316,"2008","1980248","1"
266,430,121,"2007","570000","1"
267,430,121,"2008","240000","1"
268,241,215,"2008","666278","1"
269,236,210,"2008","250000","1"
270,279,253,"2008","300000","1"
272,99,71,"2008","710731","1"
273,432,71,"2008","710731","1"
274,433,253,"2008","300000","1"
275,434,215,"2008","666278","1"
276,435,253,"2008","300000","1"
277,436,253,"2008","300000","1"
278,437,210,"2008","250000","1"
279,354,328,"2008","12000","3"
280,354,328,"2007","17000","3"
281,438,254,"2008","360000","1"
282,306,280,"2008","224000","1"
283,140,113,"2009","18523","3"
284,439,280,"2008","224000","1"
287,211,185,"2008","170000","1"
288,441,185,"2008","170000","1"
289,442,253,"2008","300000","1"
290,443,253,"2008","300000","1"
291,444,253,"2008","300000","1"
292,445,253,"2008","300000","1"
293,446,253,"2008","300000","1"
294,447,253,"2008","300000","1"
295,200,174,"2008","111673","1"
298,331,305,"2008","200000","1"
299,449,305,"2008","200000","1"
300,450,215,"2008","666278","1"
301,451,215,"2008","666278","1"
302,452,253,"2008","300000","1"
303,453,253,"2008","300000","1"
304,123,96,"2008","486000","1"
305,454,96,"2008","486000","1"
306,455,96,"2008","486000","1"
1014,838,181,"2009","20000","3"
308,457,149,"2008","410487","1"
309,207,181,"2009","20000","3"
310,458,181,"2009","20000","3"
311,175,148,"2008","384130","1"
312,459,148,"2008","384130","1"
313,460,253,"2008","300000","1"
314,315,289,"2008","280000","1"
315,461,289,"2008","280000","1"
316,349,323,"2008","15000","3"
317,462,323,"2008","15000","3"
318,178,151,"2008","360000","1"
319,463,151,"2008","360000","1"
320,465,78,"2005","383000","1"
323,467,55,"2008","538000","1"
324,468,55,"2008","538000","1"
325,469,113,"1998","504000","1"
326,368,342,"2008","287000","1"
327,470,328,"2008","12000","3"
328,470,328,"2007","17000","3"
329,471,328,"2008","12000","3"
330,471,328,"2007","17000","3"
335,192,165,"2008","90000","1"
336,475,165,"2008","90000","1"
337,166,139,"2008","513436","1"
338,476,139,"2008","513436","1"
339,474,355,"2008","32331","3"
340,477,351,"2009","5000","3"
341,219,193,"2008","6000","3"
342,478,193,"2008","6000","3"
343,479,335,"2008","280000","1"
345,480,358,"2008","346237","1"
346,208,182,"2008","500000","1"
347,481,182,"2008","500000","1"
348,482,358,"2008","346237","1"
349,483,113,"1998","504000","1"
350,484,159,"2008","420000","1"
352,297,271,"2008","400000","1"
354,286,260,"2007","10000","3"
355,286,260,"2008","23000","3"
356,135,108,"2009","6000","3"
357,486,271,"2008","400000","1"
358,487,328,"2008","12000","3"
359,487,328,"2007","17000","3"
360,489,108,"2009","6000","3"
1032,850,121,"2009","8000","3"
364,220,194,"2008","4000","3"
365,491,194,"2008","4000","3"
366,125,98,"2008","180000","1"
367,229,203,"2009","25000","3"
368,347,321,"2008","486736","1"
369,492,209,"2009","13000","3"
370,493,203,"2009","25000","3"
371,348,322,"2008","150000","1"
372,317,291,"2008","380000","1"
373,494,322,"2008","150000","1"
375,496,117,"2008","250000","1"
376,497,321,"2008","486736","1"
377,498,321,"2008","486736","1"
378,195,168,"2008","750000","1"
379,287,261,"2008","691734","1"
380,268,242,"2008","368020","1"
381,499,168,"2008","750000","1"
382,118,91,"2008","100000","1"
383,500,91,"2008","100000","1"
384,311,285,"2008","304535","1"
385,501,285,"2008","360000","1"
386,305,279,"2007","359642","1"
387,305,279,"2008","391354","1"
388,341,315,"2008","24014","3"
389,502,242,"2008","368020","1"
390,503,242,"2008","368020","1"
391,504,315,"2008","24014","3"
392,505,149,"2008","410487","1"
393,506,261,"2008","691734","1"
394,309,283,"2008","20000","3"
395,131,104,"2008","977500","1"
396,507,104,"2008","977500","1"
397,508,291,"2008","380000","1"
400,510,279,"2007","359642","1"
401,510,279,"2008","391354","1"
402,511,321,"2008","486736","1"
403,198,171,"2008","100000","1"
404,512,351,"2009","5000","3"
1023,847,270,"2010","1100","3"
1022,846,67,"2009","20000","3"
408,513,359,"2008","334000","3"
411,307,281,"2008","330000","1"
412,517,281,"2008","330000","1"
413,518,359,"2008","334000","3"
415,142,115,"2009","2423","3"
417,520,115,"2009","2423","3"
418,351,325,"2008","350000","1"
419,521,325,"2008","350000","1"
420,522,325,"2008","350000","1"
421,141,114,"2008","250000","1"
422,160,133,"2008","426020","1"
423,523,91,"2008","100000","1"
424,524,114,"2008","250000","1"
425,525,113,"1998","504000","1"
426,316,290,"2008","43809","3"
427,316,290,"2007","45148","3"
428,526,290,"2008","45000","3"
429,526,290,"2007","30000","3"
430,130,103,"2008","126819","1"
431,527,103,"2008","126819","1"
432,528,98,"2008","180000","1"
433,182,155,"2008","180000","1"
434,529,155,"2008","180000","1"
437,531,351,"2009","5000","3"
439,533,328,"2008","12000","3"
440,533,328,"2007","17000","3"
441,534,328,"2008","12000","3"
442,534,328,"2007","17000","3"
443,100,72,"2008","0","1"
444,535,72,"2008","50000","1"
445,323,297,"2008","30000","1"
446,292,266,"2008","114607","1"
447,536,266,"2008","114607","1"
448,537,266,"2008","114607","1"
449,538,297,"2008","30000","1"
450,539,266,"2008","114607","1"
451,145,118,"2008","120000","1"
452,540,118,"2008","120000","1"
453,541,62,"2005","422","3"
454,541,62,"2006","1001","3"
455,541,62,"2007","1915","3"
456,541,62,"2008","4658","3"
457,158,131,"2008","420000","1"
458,278,252,"2009","6810","3"
459,158,131,"2007","360000","1"
460,158,131,"2006","280000","1"
461,158,131,"2005","295000","1"
462,158,131,"2004","155000","1"
463,542,131,"2008","420000","1"
464,542,131,"2007","360000","1"
465,542,131,"2006","280000","1"
466,542,131,"2005","295000","1"
467,542,131,"2004","155000","1"
468,543,131,"2008","420000","1"
469,543,131,"2007","360000","1"
470,543,131,"2006","280000","1"
471,543,131,"2005","295000","1"
472,543,131,"2004","155000","1"
473,544,131,"2008","420000","1"
474,544,131,"2007","360000","1"
475,544,131,"2006","280000","1"
476,544,131,"2005","295000","1"
477,544,131,"2004","155000","1"
478,112,85,"1998","600000","1"
479,112,85,"1999","850000","1"
480,112,85,"2000","1000000","1"
481,112,85,"2001","1250000","1"
482,112,85,"2002","1700000","1"
483,112,85,"2003","750000","1"
484,112,85,"2004","1920000","1"
485,112,85,"2005","1700000","1"
486,112,85,"2006","950000","1"
487,112,85,"2007","650000","1"
488,112,85,"2008","1000000","1"
489,545,85,"1998","600000","1"
490,545,85,"1999","850000","1"
491,545,85,"2000","1000000","1"
492,545,85,"2001","1250000","1"
493,545,85,"2002","1700000","1"
494,545,85,"2003","750000","1"
495,545,85,"2004","1920000","1"
496,545,85,"2005","1700000","1"
497,545,85,"2006","950000","1"
498,545,85,"2007","650000","1"
499,545,85,"2008","1000000","1"
500,546,85,"1998","600000","1"
501,546,85,"1999","850000","1"
502,546,85,"2000","1000000","1"
503,546,85,"2001","1250000","1"
504,546,85,"2002","1700000","1"
505,546,85,"2003","750000","1"
506,546,85,"2004","1920000","1"
507,546,85,"2005","1700000","1"
508,546,85,"2006","950000","1"
509,546,85,"2007","650000","1"
510,546,85,"2008","1000000","1"
511,261,235,"2009","0","3"
512,547,235,"2009","0","3"
513,548,99,"2009","1500","3"
514,549,99,"2009","1500","3"
515,550,99,"2009","1500","3"
516,174,147,"2008","440000","1"
517,551,147,"2008","440000","1"
518,552,290,"2008","45000","3"
519,552,290,"2007","30000","3"
520,114,87,"2008","200000","1"
675,609,309,"2008","450000","1"
523,553,87,"2008","200000","1"
526,154,127,"2008","378774","1"
1021,845,81,"2008","747894","1"
528,556,127,"2008","378774","1"
674,335,309,"2008","450000","1"
673,249,223,"1998","300000","1"
672,608,150,"2009","1000000","1"
671,607,228,"2008","1250000","1"
670,606,364,"2007","54000","3"
669,606,364,"2008","55200","3"
668,177,150,"2009","1000000","1"
667,605,251,"2008","18000","3"
666,604,364,"2008","55200","3"
665,604,364,"2007","54000","3"
664,602,160,"2004","250000","1"
663,187,160,"2004","250000","1"
662,601,211,"2008","250000","1"
661,600,211,"2008","250000","1"
660,237,211,"2008","250000","1"
659,283,257,"2008","169000","1"
547,318,292,"2008","412200","1"
549,558,63,"2008","0","3"
550,193,166,"2008","421122","1"
551,193,166,"2007","301855","1"
552,152,125,"2008","20000","3"
553,559,292,"2008","412200","1"
554,215,189,"2008","96000","1"
555,560,166,"2008","421122","1"
556,560,166,"2007","301855","1"
557,561,125,"2008","20000","3"
558,254,228,"2008","1250000","1"
559,464,354,"2008","626122","1"
560,562,189,"2008","96000","1"
561,150,123,"2008","800000","1"
562,563,123,"2008","800000","1"
563,565,354,"2008","626122","1"
564,167,140,"2007","457660","1"
565,167,140,"2008","699350","1"
566,302,276,"2008","150000","1"
567,566,140,"2007","457660","1"
568,566,140,"2008","699350","1"
569,352,326,"2008","51298","1"
570,567,276,"2008","150000","1"
571,568,326,"2008","51298","1"
572,569,131,"2008","420000","1"
573,569,131,"2007","360000","1"
574,569,131,"2006","280000","1"
575,569,131,"2005","295000","1"
576,569,131,"2004","155000","1"
577,570,131,"2008","420000","1"
578,570,131,"2007","360000","1"
579,570,131,"2006","280000","1"
580,570,131,"2005","295000","1"
581,570,131,"2004","155000","1"
582,221,195,"2008","15 ","1"
583,571,195,"2008","100000","1"
584,320,294,"2008","300000","1"
586,573,133,"2008","426020","1"
587,574,294,"2008","300000","1"
588,575,62,"2005","422","3"
589,575,62,"2006","1001","3"
590,575,62,"2007","1915","3"
591,575,62,"2008","4658","3"
596,281,255,"2008","200000","1"
599,578,255,"2008","200000","1"
600,579,108,"2009","6000","3"
601,488,357,"2007","1256307","1"
602,300,274,"2002","150000","1"
603,564,347,"2008","1350048","1"
604,580,274,"2002","150000","1"
658,599,97,"2008","830935","1"
657,124,97,"2008","830935","1"
655,185,158,"2008","254147","1"
654,231,205,"2008","24600","3"
653,597,292,"2008","412200","1"
652,596,306,"2008","490000","1"
1012,836,379,"2008","205 000","1"
650,332,306,"2008","490000","1"
649,594,311,"2008","260000","1"
648,593,311,"2008","260000","1"
647,337,311,"2008","260000","1"
1011,825,379,"2008","205 000","1"
644,343,317,"2008","252217","1"
643,591,68,"2008","897500","1"
642,590,68,"2008","897500","1"
623,582,357,"2007","1256307","1"
624,488,357,"2008","829264","1"
625,583,357,"2007","1256307","1"
626,583,357,"2008","829264","1"
627,104,76,"2007","457687","1"
628,584,76,"2007","457687","1"
629,276,250,"2008","365000","1"
630,355,329,"2008","300000","1"
631,585,251,"2008","18000","3"
632,586,250,"2008","365000","1"
635,218,192,"2008","1701219","1"
636,218,192,"2007","1212460","1"
637,588,192,"2008","1701219","1"
638,588,192,"2007","1212460","1"
639,589,68,"2008","897500","1"
640,250,224,"2008","296038","1"
676,610,309,"2008","450000","1"
677,248,222,"2008","360000","1"
678,611,222,"2008","360000","1"
679,147,120,"2007","150000","1"
680,147,120,"2006","100000","1"
681,612,357,"2007","1256307","1"
682,612,357,"2008","829264","1"
683,613,224,"2008","296038","1"
684,344,318,"2008","289000","1"
685,614,318,"2008","289000","1"
686,615,321,"2008","486736","1"
687,616,241,"2008","450000","1"
688,617,205,"2008","24600","3"
689,117,90,"2008","776769","1"
690,618,90,"2008","776769","1"
691,619,171,"2008","100000","1"
692,364,338,"2008","2520","3"
693,620,338,"2008","2520","3"
696,622,348,"2008","726000","1"
697,623,348,"2008","726000","1"
698,624,294,"2008","300000","1"
699,625,205,"2008","24600","3"
701,240,214,"2008","35000","3"
1010,835,351,"2009","5000","3"
704,116,89,"2008","700000","1"
1009,834,360,"1990","5000000","1"
706,108,81,"2008","747894","1"
708,227,201,"2008","135000","1"
709,324,298,"2007","300000","1"
710,629,201,"2008","135000","1"
711,313,287,"2008","600000","1"
712,630,89,"2008","700000","1"
713,360,334,"2008","488812","1"
714,109,82,"2008","20000-22000 v pracovnej zmluve je upravený zákaz zverejňovania príjmu","3"
715,631,287,"2000","200000","1"
716,632,153,"2009","7000","3"
717,633,283,"2008","20000","3"
718,634,89,"2008","700000","1"
719,635,82,"2008","22000","3"
720,636,283,"2008","20000","3"
722,637,81,"2008","747894","1"
723,638,214,"2008","35000","3"
724,639,329,"2008","300000","1"
725,640,329,"2008","300000","1"
726,115,88,"2008","145055","1"
727,641,214,"2008","35000","3"
728,642,88,"2008","145055","1"
729,644,88,"2008","145055","1"
730,645,334,"2008","488812","1"
732,259,233,"2008","888000","1"
733,253,227,"2008","92000","1"
734,646,227,"2008","3070","3"
735,290,264,"2008","200000","1"
736,113,86,"2008","1500000","1"
738,260,234,"2009","12000","3"
739,155,128,"2008","405456","1"
740,647,86,"2008","1500000","1"
741,648,128,"2008","405456","1"
742,232,206,"2008","165022","1"
743,122,95,"2008","0","1"
744,163,136,"2008","420000","1"
745,649,128,"2008","405456","1"
747,651,234,"2009","12000","3"
748,652,136,"2008","420000","1"
749,653,95,"1990","240000","1"
750,191,164,"2008","300000","1"
751,289,263,"2006","250000","1"
752,289,263,"2006","250000","1"
753,654,206,"2008","165022","1"
754,655,164,"2008","300000","1"
755,656,263,"2006","250000","1"
756,656,263,"2006","250000","1"
757,657,164,"2008","300000","1"
758,658,227,"2008","92000","1"
759,274,248,"2008","12000","3"
760,190,163,"2008","250000","1"
761,659,248,"2008","12000","3"
762,660,163,"2008","250000","1"
763,121,94,"2008","200000","1"
764,661,94,"2008","200000","1"
765,134,107,"2008","2500000","1"
766,132,105,"2008","217000","1"
767,265,239,"2008","359940","1"
768,282,256,"2008","280000","1"
769,662,105,"2008","217000","1"
770,663,256,"2008","280000","1"
771,179,152,"2008","250000","1"
772,664,152,"2008","250000","1"
773,665,152,"2008","250000","1"
774,666,107,"2008","2500000","1"
777,668,257,"2008","169000","1"
778,127,100,"2008","360000","1"
779,669,100,"2008","360000","1"
780,233,207,"2007","145060","1"
781,288,262,"2008","250000","1"
782,670,107,"2008","2500000","1"
783,671,207,"2007","145060","1"
784,161,134,"2008","598999","1"
785,672,262,"2008","250000","1"
786,673,134,"2008","598999","1"
787,329,303,"2008","970000","1"
788,674,342,"2008","287000","1"
789,162,135,"2008","448355","1"
790,675,303,"2008","970000","1"
791,676,135,"2008","448355","1"
793,677,241,"2008","450000","1"
795,679,317,"2008","252217","1"
796,680,316,"2008","1980248","1"
797,681,253,"2008","300000","1"
798,682,253,"2008","300000","1"
799,683,253,"2008","300000","1"
800,684,253,"2008","300000","1"
801,346,320,"2008","325676","1"
802,293,267,"2008","125732","1"
803,685,267,"2008","125732","1"
1017,841,142,"2008","521309","1"
1016,840,78,"2008","119190","3"
807,688,158,"2008","254147","1"
808,689,320,"2008","325676","1"
810,690,206,"2008","165022","1"
811,262,236,"2008","8000","3"
812,691,206,"2008","165022","1"
813,692,206,"2008","165022","1"
814,693,236,"2008","8000","3"
815,362,336,"2008","230000","1"
816,694,336,"2008","230000","1"
1028,849,113,"2009","18523","3"
818,101,73,"2008","29799","3"
1024,108,81,"2009","23331,83","3"
821,695,363,"2008","726000","1"
827,700,355,"2008","32331","3"
828,701,355,"2008","32331","3"
829,702,290,"2008","43809","3"
830,702,290,"2007","45148","3"
831,703,95,"2008","240000","1"
832,258,232,"2008","5000","3"
833,173,146,"2008","250000","1"
834,704,146,"2008","250000","1"
835,705,232,"2008","5000","3"
836,285,259,"2007","150000","1"
837,707,259,"2007","150000","1"
838,706,19,"2008","1700000","1"
1025,106,78,"2009","77047,60","3"
842,270,244,"2008","30000","1"
843,710,244,"2008","30000","1"
845,711,164,"2008","300000","1"
846,712,19,"2008","1700000","1"
847,713,152,"2008","250000","1"
848,345,319,"2008","392843","1"
850,181,154,"2008","366000","1"
852,714,349,"2008","380000","1"
855,716,154,"2008","366000","1"
856,717,164,"2008","300000","1"
857,718,252,"2009","6810","3"
858,719,154,"2008","366000","1"
861,721,103,"2008","126819","1"
862,722,349,"2008","380000","1"
866,725,73,"2008","29799","3"
867,726,239,"2008","359940","1"
872,727,365,"2008","330 000.-","1"
873,730,145,"2008","373402","1"
874,303,277,"2008","500000","1"
875,732,277,"2008","500000","1"
876,733,365,"2008","330 000.-","1"
880,731,361,"2008","273274","1"
881,226,200,"2008","155070.-","1"
882,735,95,"2008","200000","1"
883,111,84,"2008","1.030.000","1"
884,736,200,"2008","155070.-","1"
885,737,361,"2008","273274","1"
886,739,363,"2008","726000","1"
887,213,187,"2008","500000","1"
888,738,20,"2008","480617","1"
889,740,187,"2008","500000","1"
890,741,187,"2008","500000","1"
891,742,334,"2008","488812","1"
892,743,356,"2008","350000","1"
893,744,356,"2008","420000","1"
894,745,20,"2008","496623","1"
895,746,356,"2008","350000","1"
896,747,84,"2008","1.030.000","1"
897,748,319,"2008","392843","1"
898,749,311,"2008","260000","1"
899,750,149,"2008","410487","1"
900,751,158,"2008","254147","1"
901,752,19,"2008","1700000","1"
903,754,84,"2008","1.030.000","1"
906,756,20,"2008","480617","1"
1019,843,384,"2009","8400","3"
1029,148,121,"2009","8000","3"
909,365,339,"2009","Zmluva nedovoľuje zverejnenie","3"
1018,842,384,"2009","8400","3"
911,760,339,"2009","Zmluva nedovoľuje zverejnenie","3"
912,761,346,"2008","1299000","1"
913,761,346,"2007","1168300","1"
914,761,346,"2006","1079605","1"
916,762,90,"2008","776769","1"
919,757,353,"2008","668573","1"
920,765,78,"2005","383000","1"
921,766,353,"2008","668573","1"
922,767,63,"2008","v rozpätí 300 - 350 000","1"
924,769,113,"1998","504000","1"
925,770,113,"1998","504000","1"
926,255,229,"2008","490000","1"
927,771,229,"2008","490000","1"
928,772,142,"2008","521309","1"
929,773,223,"1998","300000","1"
930,774,84,"2008","1.030.000","1"
932,263,237,"2008","-201500","1"
934,777,363,"2008","726000","1"
935,778,174,"2008","0","3"
936,779,363,"2008","726000","1"
937,780,364,"2008","55200","3"
938,780,364,"2007","54000","3"
939,366,340,"2008","329100","1"
940,781,340,"2008","329100","1"
941,782,205,"2008","24600","3"
942,36,41,"2008","1987803","1"
943,783,237,"2008","-201500","1"
944,784,241,"2008","450000","1"
945,785,223,"1998","300000","1"
946,786,113,"2008","504000","1"
947,787,113,"2008","504000","1"
948,321,295,"2008","180000","1"
949,789,295,"2008","180000","1"
950,790,264,"2008","200000","1"
951,791,298,"2007","300000","1"
952,793,130,"2006","186701","1"
953,793,130,"2007","286896","1"
954,793,130,"2008","311828","1"
955,793,130,"2009","8418","3"
956,792,368,"2008","7500","3"
957,794,368,"2008","7500","3"
958,795,218,"2008","360000","1"
959,796,298,"2007","300000","1"
960,322,296,"2008","24 000","3"
961,797,233,"2008","888000","1"
962,326,300,"2008","150000","1"
963,225,199,"2008","1 000000","1"
964,798,296,"2008","24 000","3"
965,799,300,"2008","150000","1"
966,800,199,"2008","1 000000","1"
967,301,275,"2009",",","1"
968,801,275,"2009",",","1"
970,802,275,"2009",",","1"
971,803,287,"2008","600000","1"
1020,844,384,"2009","8400","3"
974,239,213,"2008","cca. 200000","1"
975,246,220,"2008","253058","1"
976,806,213,"2008","cca. 200000","1"
977,807,220,"2008","253058","1"
978,811,372,"2008","197218","1"
981,813,372,"2008","197218","1"
982,808,370,"2008","155000","1"
983,814,174,"2008","111673","1"
984,815,370,"2008","155000","1"
985,788,367,"2008","1 452 000","1"
986,816,367,"2008","1 452 000","1"
987,817,112,"2008","550000","1"
988,818,375,"2007","590","1"
989,818,375,"2008","780","1"
990,818,375,"2009","20000","3"
991,819,375,"2007","590","1"
992,819,375,"2008","780","1"
993,819,375,"2009","20000","3"
994,820,86,"2008","1500000","1"
995,821,378,"2009","8604","3"
996,822,378,"2009","8604","3"
997,824,300,"2008","150000","1"
998,823,377,"2008","457 014","1"
999,826,377,"2008","457 014","1"
1000,827,380,"2009","600000","1"
1001,828,380,"2009","600000","1"
1002,827,380,"2008","500000","1"
1003,829,380,"2009","600000","1"
1004,829,380,"2008","500000","1"
1005,830,195,"2008","15 ","1"
1006,831,195,"2008","15 ","1"
1008,833,95,"2008",".","1"



