"sid","uzivatel_sid","verejny_cinnitel_sid","str_strana","str_funkcia_strana","str_funkcne_obdobie_od","str_funkcne_obdobie_do","poznamky","str_nazov"
611,82,109,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
613,334,360,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
614,89,630,"SaS","","","","","Sloboda a Solidarita"
615,287,631,"SaS","","","","","Sloboda a Solidarita"
617,153,632,"NEKA","","","","","Nezávislý kandidát"
618,283,633,"SaS","sympatizant",2008,"","","Sloboda a Solidarita"
619,89,634,"SaS","člen",2009,"","","Sloboda a Solidarita"
620,82,635,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
621,88,115,"SaS","člen","","",NULL,"Sloboda a Solidarita"
622,283,636,"SaS","sympatizant",2008,"","","Sloboda a Solidarita"
623,81,637,"SaS","člen republikovej rady",2009,"","","Sloboda a Solidarita"
624,214,638,"Nečlen","","","","","Nie som členom žiadnej strany"
625,329,639,"SaS","sympatizant","","","","Sloboda a Solidarita"
626,329,640,"SaS","sympatizant","","","","Sloboda a Solidarita"
627,214,641,"Nečlen","","","","","Nie som členom žiadnej strany"
628,88,642,"SaS","člen","","","","Sloboda a Solidarita"
630,107,134,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
631,88,644,"SaS","člen","","","","Sloboda a Solidarita"
632,233,259,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
633,227,253,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
634,334,645,"Nečlen","","","","","Nie som členom žiadnej strany"
635,264,290,"SNS","člen strany",1995,1999,NULL,"Slovenská národná strana"
636,227,646,"Nečlen","","","","","Nie som členom žiadnej strany"
637,234,260,"SaS","","","",NULL,"Sloboda a Solidarita"
638,234,260,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
639,86,647,"SaS","člen",2009,"","","Sloboda a Solidarita"
640,262,288,"ANO","člen",2002,2006,NULL,"Aliancia nového občana"
641,128,648,"SaS","okresny reprezentant Liptovsky Mikulas a clen strany",2009,"","","Sloboda a Solidarita"
642,128,648,"SaS","okresny reprezentant strany Lipt. Mikulas a clen strany",2009,"","","Sloboda a Solidarita"
643,95,122,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
644,206,232,"SaS","sympatizant SaS",2009,"",NULL,"Sloboda a Solidarita"
645,128,649,"SaS","okresny reprezentant Liptovsky Mikulas a clen strany",2009,"","","Sloboda a Solidarita"
646,128,649,"SaS","okresny reprezentant strany Lipt. Mikulas a clen strany",2009,"","","Sloboda a Solidarita"
648,234,651,"SaS","","","","","Sloboda a Solidarita"
649,234,651,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
650,136,652,"Nečlen","sympatizant SaS","","","","Nie som členom žiadnej strany"
651,95,653,"SaS","člen",2009,"","","Sloboda a Solidarita"
652,263,289,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
653,163,190,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
654,206,654,"Nečlen","","","","","Nie som členom žiadnej strany"
655,248,274,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
656,164,655,"Nečlen","",2009,"","","Nie som členom žiadnej strany"
657,263,656,"Nečlen","","","","","Nie som členom žiadnej strany"
658,164,657,"Nečlen","",2009,"","","Nie som členom žiadnej strany"
659,227,658,"Nečlen","","","","","Nie som členom žiadnej strany"
660,248,659,"Nečlen","","","","","Nie som členom žiadnej strany"
661,163,660,"Nečlen","","","","","Nie som členom žiadnej strany"
662,94,661,"SaS","okresný vedúci","","","","Sloboda a Solidarita"
663,105,132,"SaS","okresný reprezentant",2009,"",NULL,"Sloboda a Solidarita"
664,105,662,"SaS","okresný reprezentant",2009,"","","Sloboda a Solidarita"
665,256,663,"Nečlen","","","","","Nie som členom žiadnej strany"
666,152,664,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
667,152,665,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
668,107,666,"SaS","člen",2009,"","","Sloboda a Solidarita"
671,257,668,"Nečlen","","","","","Nie som členom žiadnej strany"
672,100,669,"SaS","člen",2009,"","","Sloboda a Solidarita"
673,134,161,"SaS","okresný šéf za Žilinu",2009,"",NULL,"Sloboda a Solidarita"
674,207,233,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
675,303,329,"SaS","","","",NULL,"Sloboda a Solidarita"
676,107,670,"SaS","člen",2009,"","","Sloboda a Solidarita"
677,207,671,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
678,262,672,"ANO","člen",2002,2006,"","Aliancia nového občana"
679,134,673,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
680,342,674,"SaS","Nie som členom žiadnej strany",2009,"","","Sloboda a Solidarita"
681,135,162,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
682,303,675,"SaS","","","","","Sloboda a Solidarita"
683,135,676,"Nečlen","","","","","Nie som členom žiadnej strany"
685,241,677,"Nečlen","","","","","Nie som členom žiadnej strany"
687,317,679,"SaS","Okresný koordinátor Čadca",2009,"","","Sloboda a Solidarita"
688,316,680,"Nečlen","","","","","Nie som členom žiadnej strany"
689,253,681,"Nečlen","","","","","Nie som členom žiadnej strany"
690,253,682,"Nečlen","","","","","Nie som členom žiadnej strany"
691,253,683,"Nečlen","","","","","Nie som členom žiadnej strany"
692,253,684,"Nečlen","","","","","Nie som členom žiadnej strany"
693,320,346,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
695,267,685,"SaS","","","","","Sloboda a Solidarita"
696,236,262,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
699,158,688,"Nečlen","bez funkcie","","","","Nie som členom žiadnej strany"
700,320,689,"Nečlen","","","","","Nie som členom žiadnej strany"
701,206,690,"Nečlen","","","","","Nie som členom žiadnej strany"
702,206,232,"SaS","sympatizant SaS",2009,"",NULL,"Sloboda a Solidarita"
703,206,691,"SaS","sympatizant SaS",2009,"","","Sloboda a Solidarita"
704,206,691,"SaS","sympatizant SaS",2009,"","","Sloboda a Solidarita"
705,206,692,"SaS","sympatizant SaS",2009,"","","Sloboda a Solidarita"
706,206,692,"SaS","sympatizant SaS",2009,"","","Sloboda a Solidarita"
707,236,693,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
708,336,362,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
709,336,694,"Nečlen","","","","","Nie som členom žiadnej strany"
927,270,847,"SaS","žiadna","","","","Sloboda a Solidarita"
711,73,101,"SaS","tímlíder pre  médiá",2009,"",NULL,"Sloboda a Solidarita"
712,363,695,"SDKÚ-DS","predseda Miestneho zväzu Bratislava - Staré Mesto ",2008,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
919,72,839,"SaS","člen",2009,"","","Sloboda a Solidarita"
920,78,840,"SaS","Člen republikovej rady",2009,"","","Sloboda a Solidarita"
921,142,841,"SaS","Sympatizant","",2009,"","Sloboda a Solidarita"
721,355,700,"SMER","člen",2004,"","","SMER - sociálna demokracia"
722,355,701,"SMER","člen",2004,"","","SMER - sociálna demokracia"
723,290,702,"Nečlen","","","","","Nie som členom žiadnej strany"
724,95,703,"SaS","člen",2009,"","","Sloboda a Solidarita"
726,232,258,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
727,146,173,"SaS","sympatizantka","","",NULL,"Sloboda a Solidarita"
728,146,704,"SaS","sympatizantka","","","","Sloboda a Solidarita"
733,259,707,"ASV","","","","","Agrárna strana vidieka"
730,232,705,"Nečlen","","","","","Nie som členom žiadnej strany"
731,259,285,"ASV","","","",NULL,"Agrárna strana vidieka"
732,19,706,"SMER","člen",2007,"",NULL,"SMER - sociálna demokracia"
740,244,270,"SaS","","","",NULL,"Sloboda a Solidarita"
741,244,710,"SaS","","","","","Sloboda a Solidarita"
742,164,711,"Nečlen","",2009,"","","Nie som členom žiadnej strany"
743,19,712,"SMER","člen",2007,"","","SMER - sociálna demokracia"
744,152,713,"Nečlen","","","","","Nie som členom žiadnej strany"
745,154,181,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
747,349,714,"ĽS-HZDS","radový člen",1994,2002,NULL,"Ľudová strana - Hnutie za demokratické Slovensko"
749,154,716,"Nečlen","","","","","Nie som členom žiadnej strany"
750,239,265,"SaS","sympatizant","","",NULL,"Sloboda a Solidarita"
751,164,717,"Nečlen","",2009,"","","Nie som členom žiadnej strany"
752,252,718,"SaS","sympatizant","","","","Sloboda a Solidarita"
753,154,719,"Nečlen","","","","","Nie som členom žiadnej strany"
755,103,721,"SaS","člen",2009,"","","Sloboda a Solidarita"
756,252,278,"Nečlen","kandidát za SaS","","",NULL,"Nie som členom žiadnej strany"
757,252,278,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
758,187,213,"NEKA","",2006,"",NULL,"Nezávislý kandidát"
759,349,714,"HZD","podpredseda",2006,"",NULL,"Hnutie za demokraciu"
760,349,722,"ĽS-HZDS","radový člen",1994,2002,"","Ľudová strana - Hnutie za demokratické Slovensko"
761,349,722,"HZD","podpredseda",2006,"","","Hnutie za demokraciu"
764,73,101,"SaS","","","",NULL,"Sloboda a Solidarita"
766,73,725,"SaS","tímlíder pre  médiá",2009,"","","Sloboda a Solidarita"
767,73,725,"SaS","","","","","Sloboda a Solidarita"
768,239,726,"SaS","","","","","Sloboda a Solidarita"
769,239,726,"SaS","sympatizant","","","","Sloboda a Solidarita"
772,365,727,"KDH","Člen predsedníctva okresnej rady",1991,"",NULL,"Kresťanskodemokratické hnutie"
774,145,730,"Nečlen","","","","","Nie som členom žiadnej strany"
775,200,226,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
776,277,303,"SaS","","","",NULL,"Sloboda a Solidarita"
777,277,732,"SaS","","","","","Sloboda a Solidarita"
778,361,731,"SDKÚ-DS","podpredseda MZ",2007,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
779,365,733,"KDH","Člen predsedníctva okresnej rady",1991,"","","Kresťanskodemokratické hnutie"
781,84,111,"SaS","Reg.predseda SaS Západ, člen Republikovej rady",2009,"",NULL,"Sloboda a Solidarita"
782,95,735,"SaS","člen",2009,"","","Sloboda a Solidarita"
783,200,736,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
784,361,737,"SDKÚ-DS","podpredseda MZ",2007,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
785,363,739,"SDKÚ-DS","predseda Miestneho zväzu Bratislava - Staré Mesto ",2008,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
786,20,738,"OKS","podpredseda",2005,"",NULL,"Občianska konzervatívna strana"
787,187,740,"NEKA","",2006,"","","Nezávislý kandidát"
788,187,741,"NEKA","",2006,"","","Nezávislý kandidát"
789,334,742,"Nečlen","","","","","Nie som členom žiadnej strany"
790,356,743,"KDH","Okresný predseda strany",2008,"",NULL,"Kresťanskodemokratické hnutie"
791,356,744,"KDH","Okresný predseda strany",2008,"","","Kresťanskodemokratické hnutie"
792,20,745,"OKS","podpredseda",2005,"","","Občianska konzervatívna strana"
793,356,746,"KDH","Okresný predseda strany",2008,"","","Kresťanskodemokratické hnutie"
794,84,747,"SaS","Reg.predseda SaS Západ, člen Republikovej rady",2009,"","","Sloboda a Solidarita"
795,319,748,"SaS","sympatizant","","","","Sloboda a Solidarita"
796,311,749,"SaS","simpatizant",2009,2009,"","Sloboda a Solidarita"
797,149,750,"SZ","člen",1990,1990,"","Strana zelených"
798,158,751,"Nečlen","bez funkcie","","","","Nie som členom žiadnej strany"
799,19,752,"SMER","člen",2007,"","","SMER - sociálna demokracia"
803,84,754,"SaS","Reg.predseda SaS Západ, člen Republikovej rady",2009,"","","Sloboda a Solidarita"
806,20,756,"OKS","podpredseda",2005,"","","Občianska konzervatívna strana"
930,121,850,"SaS","člen",2009,"","","Sloboda a Solidarita"
808,339,365,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
922,384,842,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
810,339,760,"SaS","člen",2009,"","","Sloboda a Solidarita"
811,353,757,"SDKÚ-DS","člen ",1997,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
812,346,761,"ĽS-HZDS","predseda poslaneckého klubu",1993,1994,"","Ľudová strana - Hnutie za demokratické Slovensko"
813,346,761,"DÚ","predseda miestnej organizácie",1994,2003,"","Demokratická únia Slovenska"
814,90,762,"SaS","okresný reprezentant ",2009,"","","Sloboda a Solidarita"
818,353,757,"SDKÚ-DS","predseda Krajskej rady DS a predsedníctva DS",2004,2006,NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
819,353,757,"SDKÚ-DS","predseda mestského poslaneckého klubu SDKU-DS",2006,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
820,78,765,"SaS","Člen republikovej rady",2009,"","","Sloboda a Solidarita"
821,353,766,"SDKÚ-DS","člen ",1997,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
822,353,766,"SDKÚ-DS","predseda Krajskej rady DS a predsedníctva DS",2004,2006,"","Slovenská demokratická a kresťanská únia - Demokratická strana"
823,353,766,"SDKÚ-DS","predseda mestského poslaneckého klubu SDKU-DS",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
824,63,767,"SaS","zakladajúci člen",2009,"","","Sloboda a Solidarita"
826,113,769,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
827,113,770,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
828,229,771,"SaS","žiadateľ o členstvo","","","","Sloboda a Solidarita"
829,142,772,"SaS","","","","","Sloboda a Solidarita"
830,223,773,"SaS","člen",2009,"","","Sloboda a Solidarita"
831,84,774,"SaS","Reg.predseda SaS Západ, člen Republikovej rady",2009,"","","Sloboda a Solidarita"
834,237,263,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
836,363,777,"SDKÚ-DS","predseda Miestneho zväzu Bratislava - Staré Mesto ",2008,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
837,174,778,"Nečlen","","","","","Nie som členom žiadnej strany"
838,363,779,"SDKÚ-DS","predseda Miestneho zväzu Bratislava - Staré Mesto ",2008,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
839,340,366,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
840,364,780,"SDKÚ-DS","člen",2000,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
841,364,780,"SDKÚ-DS","člen",2000,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
842,340,781,"Nečlen","","","","","Nie som členom žiadnej strany"
843,205,782,"Nečlen","","","","","Nie som členom žiadnej strany"
844,237,783,"Nečlen","","","","","Nie som členom žiadnej strany"
845,241,784,"Nečlen","","","","","Nie som členom žiadnej strany"
846,223,785,"SaS","člen",2009,"","","Sloboda a Solidarita"
847,113,786,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
848,113,787,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
849,367,788,"KDH","člen strany",1998,"",NULL,"Kresťanskodemokratické hnutie"
850,367,788,"KDH","člen strany",1998,"",NULL,"Kresťanskodemokratické hnutie"
851,295,321,"ASV","","","",NULL,"Agrárna strana vidieka"
852,295,789,"ASV","","","","","Agrárna strana vidieka"
853,264,790,"SNS","člen strany",1995,1999,"","Slovenská národná strana"
854,298,791,"NEKA","","","","","Nezávislý kandidát"
855,130,793,"SaS","Regionálny predseda - Turiec",2009,"","","Sloboda a Solidarita"
856,368,792,"KDH","",2009,"",NULL,"Kresťanskodemokratické hnutie"
857,368,794,"KDH","",2009,"","","Kresťanskodemokratické hnutie"
858,218,795,"Nečlen","","","","","Nie som členom žiadnej strany"
859,296,322,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
860,296,322,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
861,300,326,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
862,298,796,"NEKA","","","","","Nezávislý kandidát"
863,233,797,"Nečlen","","","","","Nie som členom žiadnej strany"
864,199,225,"SaS","nie","","",NULL,"Sloboda a Solidarita"
865,296,798,"Nečlen","","","","","Nie som členom žiadnej strany"
866,296,798,"Nečlen","","","","","Nie som členom žiadnej strany"
867,300,799,"Nečlen","","","","","Nie som členom žiadnej strany"
868,199,800,"SaS","nie","","","","Sloboda a Solidarita"
869,275,301,"SaS","okresná vedúca",2009,"",NULL,"Sloboda a Solidarita"
871,275,801,"SaS","okresná vedúca",2009,"","","Sloboda a Solidarita"
872,275,802,"SaS","okresná vedúca",2009,"","","Sloboda a Solidarita"
873,287,803,"SaS","","","","","Sloboda a Solidarita"
924,384,844,"Nečlen","","","","","Nie som členom žiadnej strany"
876,213,239,"SaS","sympatizant strany",2009,"",NULL,"Sloboda a Solidarita"
877,220,246,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
878,213,806,"SaS","sympatizant strany",2009,"","","Sloboda a Solidarita"
879,220,807,"Nečlen","","","","","Nie som členom žiadnej strany"
880,370,808,"MOST - HÍD","kandidát na poslanca VÚC",2009,"",NULL,"MOST - HÍD"
881,9,10,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
883,372,811,"KDH","podpredsedníčka okresného centra",2008,"",NULL,"Kresťanskodemokratické hnutie"
885,372,813,"KDH","podpredsedníčka okresného centra",2008,"","","Kresťanskodemokratické hnutie"
886,174,814,"Nečlen","","","","","Nie som členom žiadnej strany"
887,370,815,"MOST - HÍD","kandidát na poslanca VÚC",2009,"","","MOST - HÍD"
888,367,816,"KDH","člen strany",1998,"","","Kresťanskodemokratické hnutie"
889,367,816,"KDH","člen strany",1998,"","","Kresťanskodemokratické hnutie"
890,112,817,"SaS","člen Republikovej rady",2009,"","","Sloboda a Solidarita"
891,375,818,"SaS","sympatizant - člen",2009,"",NULL,"Sloboda a Solidarita"
892,375,819,"SaS","sympatizant - člen",2009,"","","Sloboda a Solidarita"
893,86,820,"SaS","člen",2009,"","","Sloboda a Solidarita"
894,378,821,"KDS","","","",NULL,"Konzervatívni demokrati Slovenska"
895,378,822,"KDS","","","","","Konzervatívni demokrati Slovenska"
896,377,823,"KDS","bez verejnej funkcie",2008,"",NULL,"Konzervatívni demokrati Slovenska"
897,377,823,"KDS","bez verejnej funkcie",2008,"",NULL,"Konzervatívni demokrati Slovenska"
898,377,823,"KDS","bez verejnej funkcie",2008,"",NULL,"Konzervatívni demokrati Slovenska"
899,300,824,"Nečlen","","","","","Nie som členom žiadnej strany"
900,379,825,"KDS","člen strany",2009,"",NULL,"Konzervatívni demokrati Slovenska"
901,377,823,"KDS","bez verejnej funkcie",2008,"",NULL,"Konzervatívni demokrati Slovenska"
902,377,826,"KDS","bez verejnej funkcie",2008,"","","Konzervatívni demokrati Slovenska"
903,377,826,"KDS","bez verejnej funkcie",2008,"","","Konzervatívni demokrati Slovenska"
904,377,826,"KDS","bez verejnej funkcie",2008,"","","Konzervatívni demokrati Slovenska"
905,377,826,"KDS","bez verejnej funkcie",2008,"","","Konzervatívni demokrati Slovenska"
906,380,827,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
907,380,828,"Nečlen","","","","","Nie som členom žiadnej strany"
908,380,829,"Nečlen","","","","","Nie som členom žiadnej strany"
909,195,830,"SP","",2009,2009,"","Strana práce"
910,195,831,"SP","",2009,2009,"","Strana práce"
912,95,833,"SaS","člen",2009,"","","Sloboda a Solidarita"
